id,signature_id,att_order,att_name,att_default_value,att_purpose
573,111,0,n_components,10,param
574,111,1,doc_topic_prior,None,param
575,111,2,topic_word_prior,None,param
576,111,3,learning_method,’batch’,param
577,111,4,learning_decay,0.7,param
578,111,5,learning_offset,10,param
579,111,6,max_iter,10,param
580,111,7,batch_size,128,param
581,111,8,evaluate_every,-1,param
582,111,9,total_samples,1000000,param
583,111,10,perp_tol,0.1,param
584,111,11,mean_change_tol,0.001,param
585,111,12,max_doc_update_iter,100,param
586,111,13,n_jobs,None,param
587,111,14,verbose,0,param
588,111,15,random_state,None,param
589,112,0,n_components,None,param
590,112,1,alpha,1,param
591,112,2,n_iter,1000,param
592,112,3,fit_algorithm,’lars’,param
593,112,4,n_jobs,None,param
594,112,5,batch_size,3,param
595,112,6,shuffle,True,param
596,112,7,dict_init,None,param
597,112,8,transform_algorithm,’omp’,param
598,112,9,transform_n_nonzero_coefs,None,param
599,112,10,transform_alpha,None,param
600,112,11,verbose,False,param
601,112,12,split_sign,False,param
602,112,13,random_state,None,param
603,112,14,positive_code,False,param
604,112,15,positive_dict,False,param
605,113,0,n_components,None,param
606,113,1,alpha,1,param
607,113,2,ridge_alpha,0.01,param
608,113,3,n_iter,100,param
609,113,4,callback,None,param
610,113,5,batch_size,3,param
611,113,6,verbose,False,param
612,113,7,shuffle,True,param
613,113,8,n_jobs,None,param
614,113,9,method,’lars’,param
615,113,10,random_state,None,param
616,113,11,normalize_components,False,param
617,114,0,n_components,None,param
618,114,1,init,None,param
619,114,2,solver,’cd’,param
620,114,3,beta_loss,’frobenius’,param
621,114,4,tol,0.0001,param
622,114,5,max_iter,200,param
623,114,6,random_state,None,param
624,114,7,alpha,0,param
625,114,8,l1_ratio,0,param
626,114,9,verbose,0,param
627,114,10,shuffle,False,param
628,115,0,n_components,None,param
629,115,1,copy,True,param
630,115,2,whiten,False,param
631,115,3,svd_solver,’auto’,param
632,115,4,tol,0,param
633,115,5,iterated_power,’auto’,param
634,115,6,random_state,None,param
635,116,0,n_components,None,param
636,116,1,alpha,1,param
637,116,2,ridge_alpha,0.01,param
638,116,3,max_iter,1000,param
639,116,4,tol,1E-08,param
640,116,5,method,’lars’,param
641,116,6,n_jobs,None,param
642,116,7,U_init,None,param
643,116,8,V_init,None,param
644,116,9,verbose,False,param
645,116,10,random_state,None,param
646,116,11,normalize_components,False,param
647,117,0,dictionary,UNDEF,param
648,117,1,transform_algorithm,’omp’,param
649,117,2,transform_n_nonzero_coefs,None,param
650,117,3,transform_alpha,None,param
651,117,4,split_sign,False,param
652,117,5,n_jobs,None,param
653,117,6,positive_code,False,param
654,118,0,n_components,2,param
655,118,1,algorithm,’randomized’,param
656,118,2,n_iter,5,param
657,118,3,random_state,None,param
658,118,4,tol,0,param
659,119,0,X,UNDEF,param
660,119,1,n_components,UNDEF,param
661,119,2,alpha,UNDEF,param
662,119,3,max_iter,100,param
663,119,4,tol,1E-08,param
664,119,5,method,’lars’,param
665,119,6,n_jobs,None,param
666,119,7,dict_init,None,param
667,119,8,code_init,None,param
668,119,9,callback,None,param
669,119,10,verbose,False,param
670,119,11,random_state,None,param
671,119,12,return_n_iter,False,param
672,119,13,positive_dict,False,param
673,119,14,positive_code,False,param
674,120,0,X,UNDEF,param
675,120,1,n_components,2,param
676,120,2,alpha,1,param
677,120,3,n_iter,100,param
678,120,4,return_code,True,param
679,120,5,dict_init,None,param
680,120,6,callback,None,param
681,120,7,batch_size,3,param
682,120,8,verbose,False,param
683,120,9,shuffle,True,param
684,120,10,n_jobs,None,param
685,120,11,method,’lars’,param
686,120,12,iter_offset,0,param
687,120,13,random_state,None,param
688,120,14,return_inner_stats,False,param
689,120,15,inner_stats,None,param
690,120,16,return_n_iter,False,param
691,120,17,positive_dict,False,param
692,120,18,positive_code,False,param
693,121,0,X,UNDEF,param
694,121,1,n_components,None,param
695,121,2,algorithm,’parallel’,param
696,121,3,whiten,True,param
697,121,4,fun,’logcosh’,param
698,121,5,fun_args,None,param
699,121,6,max_iter,200,param
700,121,7,tol,0.0001,param
701,121,8,w_init,None,param
702,121,9,random_state,None,param
703,121,10,return_X_mean,False,param
704,121,11,compute_sources,True,param
705,121,12,return_n_iter,False,param
706,122,0,X,UNDEF,param
707,122,1,W,None,param
708,122,2,H,None,param
709,122,3,n_components,None,param
710,122,4,init,’warn’,param
711,122,5,update_H,True,param
712,122,6,solver,’cd’,param
713,122,7,beta_loss,’frobenius’,param
714,122,8,tol,0.0001,param
715,122,9,max_iter,200,param
716,122,10,alpha,0,param
717,122,11,l1_ratio,0,param
718,122,12,regularization,None,param
719,122,13,random_state,None,param
720,122,14,verbose,0,param
721,122,15,shuffle,False,param
722,123,0,X,UNDEF,param
723,123,1,dictionary,UNDEF,param
724,123,2,gram,None,param
725,123,3,cov,None,param
726,123,4,algorithm,’lasso_lars’,param
727,123,5,n_nonzero_coefs,None,param
728,123,6,alpha,None,param
729,123,7,copy_cov,True,param
730,123,8,init,None,param
731,123,9,max_iter,1000,param
732,123,10,n_jobs,None,param
733,123,11,check_input,True,param
734,123,12,verbose,0,param
735,123,13,positive,False,param
736,124,0,solver,’svd’,param
737,124,1,shrinkage,None,param
738,124,2,priors,None,param
739,124,3,n_components,None,param
740,124,4,store_covariance,False,param
741,124,5,tol,0.0001,param
742,125,0,priors,None,param
743,125,1,reg_param,0,param
744,125,2,store_covariance,False,param
745,125,3,tol,0.0001,param
746,126,0,strategy,’stratified’,param
747,126,1,random_state,None,param
748,126,2,constant,None,param
749,127,0,strategy,’mean’,param
750,127,1,constant,None,param
751,127,2,quantile,None,param
752,128,0,base_estimator,None,param
753,128,1,n_estimators,50,param
754,128,2,learning_rate,1,param
755,128,3,algorithm,’SAMME.R’,param
756,128,4,random_state,None,param
757,129,0,base_estimator,None,param
758,129,1,n_estimators,50,param
759,129,2,learning_rate,1,param
760,129,3,loss,’linear’,param
761,129,4,random_state,None,param
762,130,0,base_estimator,None,param
763,130,1,n_estimators,10,param
764,130,2,max_samples,1,param
765,130,3,max_features,1,param
766,130,4,bootstrap,True,param
767,130,5,bootstrap_features,False,param
768,130,6,oob_score,False,param
769,130,7,warm_start,False,param
770,130,8,n_jobs,None,param
771,130,9,random_state,None,param
772,130,10,verbose,0,param
773,131,0,base_estimator,None,param
774,131,1,n_estimators,10,param
775,131,2,max_samples,1,param
776,131,3,max_features,1,param
777,131,4,bootstrap,True,param
778,131,5,bootstrap_features,False,param
779,131,6,oob_score,False,param
780,131,7,warm_start,False,param
781,131,8,n_jobs,None,param
782,131,9,random_state,None,param
783,131,10,verbose,0,param
784,132,0,n_estimators,’warn’,param
785,132,1,criterion,’gini’,param
786,132,2,max_depth,None,param
787,132,3,min_samples_split,2,param
788,132,4,min_samples_leaf,1,param
789,132,5,min_weight_fraction_leaf,0,param
790,132,6,max_features,’auto’,param
791,132,7,max_leaf_nodes,None,param
792,132,8,min_impurity_decrease,0,param
793,132,9,min_impurity_split,None,param
794,132,10,bootstrap,False,param
795,132,11,oob_score,False,param
796,132,12,n_jobs,None,param
797,132,13,random_state,None,param
798,132,14,verbose,0,param
799,132,15,warm_start,False,param
800,132,16,class_weight,None,param
801,133,0,n_estimators,’warn’,param
802,133,1,criterion,’mse’,param
803,133,2,max_depth,None,param
804,133,3,min_samples_split,2,param
805,133,4,min_samples_leaf,1,param
806,133,5,min_weight_fraction_leaf,0,param
807,133,6,max_features,’auto’,param
808,133,7,max_leaf_nodes,None,param
809,133,8,min_impurity_decrease,0,param
810,133,9,min_impurity_split,None,param
811,133,10,bootstrap,False,param
812,133,11,oob_score,False,param
813,133,12,n_jobs,None,param
814,133,13,random_state,None,param
815,133,14,verbose,0,param
816,133,15,warm_start,False,param
817,134,0,loss,’deviance’,param
818,134,1,learning_rate,0.1,param
819,134,2,n_estimators,100,param
820,134,3,subsample,1,param
821,134,4,criterion,’friedman_mse’,param
822,134,5,min_samples_split,2,param
823,134,6,min_samples_leaf,1,param
824,134,7,min_weight_fraction_leaf,0,param
825,134,8,max_depth,3,param
826,134,9,min_impurity_decrease,0,param
827,134,10,min_impurity_split,None,param
828,134,11,init,None,param
829,134,12,random_state,None,param
830,134,13,max_features,None,param
831,134,14,verbose,0,param
832,134,15,max_leaf_nodes,None,param
833,134,16,warm_start,False,param
834,134,17,presort,’auto’,param
835,134,18,validation_fraction,0.1,param
836,134,19,n_iter_no_change,None,param
837,134,20,tol,0.0001,param
838,135,0,loss,’ls’,param
839,135,1,learning_rate,0.1,param
840,135,2,n_estimators,100,param
841,135,3,subsample,1,param
842,135,4,criterion,’friedman_mse’,param
843,135,5,min_samples_split,2,param
844,135,6,min_samples_leaf,1,param
845,135,7,min_weight_fraction_leaf,0,param
846,135,8,max_depth,3,param
847,135,9,min_impurity_decrease,0,param
848,135,10,min_impurity_split,None,param
849,135,11,init,None,param
850,135,12,random_state,None,param
851,135,13,max_features,None,param
852,135,14,alpha,0.9,param
853,135,15,verbose,0,param
854,135,16,max_leaf_nodes,None,param
855,135,17,warm_start,False,param
856,135,18,presort,’auto’,param
857,135,19,validation_fraction,0.1,param
858,135,20,n_iter_no_change,None,param
859,135,21,tol,0.0001,param
860,136,0,n_estimators,100,param
861,136,1,max_samples,’auto’,param
862,136,2,contamination,’legacy’,param
863,136,3,max_features,1,param
864,136,4,bootstrap,False,param
865,136,5,n_jobs,None,param
866,136,6,behaviour,’old’,param
867,136,7,random_state,None,param
868,136,8,verbose,0,param
869,136,9,warm_start,False,param
870,137,0,n_estimators,’warn’,param
871,137,1,criterion,’gini’,param
872,137,2,max_depth,None,param
873,137,3,min_samples_split,2,param
874,137,4,min_samples_leaf,1,param
875,137,5,min_weight_fraction_leaf,0,param
876,137,6,max_features,’auto’,param
877,137,7,max_leaf_nodes,None,param
